source = 49_11_file-io.USDJPY.Period-H1.Days-720.Bars-17280.20171231_233725.csv (C:\WORKS_2\WS\WS_Others\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\csv)
Max	idx_Start	idxOf_SumMax	idx(when ended)	dateTime_Local(started)	dateTime_Local(max)	dateTime_Local(ended)	dateTime(started)	dateTime(max)	dateTime(ended)	price_Close(started)	price_Close(max)	price_Close(ended)	BB_2S(max)	BB_1S(max)	BB_Main(max)	BB_M1S(max)	BB_M2S(max)
0.225000	446	448	450	2017.12.14 06:00	2017.12.14 08:00	2017.12.14 10:00	2017.12.13 23:00	2017.12.14 01:00	2017.12.14 03:00	112.533	112.759	112.606	113.715	113.398	113.080	112.762	112.444
0.062000	451	451	452	2017.12.14 11:00	2017.12.14 11:00	2017.12.14 12:00	2017.12.14 04:00	2017.12.14 04:00	2017.12.14 05:00	112.668	112.668	112.608	113.628	113.304	112.980	112.655	112.331
0.024000	453	453	454	2017.12.14 13:00	2017.12.14 13:00	2017.12.14 14:00	2017.12.14 06:00	2017.12.14 06:00	2017.12.14 07:00	112.630	112.630	112.570	113.522	113.213	112.903	112.594	112.284
0.213000	455	457	460	2017.12.14 15:00	2017.12.14 17:00	2017.12.14 20:00	2017.12.14 08:00	2017.12.14 10:00	2017.12.14 13:00	112.690	112.783	112.653	113.211	112.992	112.773	112.554	112.335
0.099000	461	462	463	2017.12.14 21:00	2017.12.14 22:00	2017.12.14 23:00	2017.12.14 14:00	2017.12.14 15:00	2017.12.14 16:00	112.665	112.759	112.683	112.868	112.771	112.673	112.575	112.477
0.243000	469	472	474	2017.12.15 05:00	2017.12.15 08:00	2017.12.15 10:00	2017.12.14 22:00	2017.12.15 01:00	2017.12.15 03:00	112.241	112.390	112.243	112.934	112.743	112.552	112.361	112.170
0.101000	475	477	478	2017.12.15 11:00	2017.12.15 13:00	2017.12.15 14:00	2017.12.15 04:00	2017.12.15 06:00	2017.12.15 07:00	112.272	112.338	112.252	112.841	112.648	112.454	112.261	112.067
0.013000	481	481	483	2017.12.15 17:00	2017.12.15 17:00	2017.12.15 19:00	2017.12.15 10:00	2017.12.15 10:00	2017.12.15 12:00	112.158	112.158	112.145	112.691	112.523	112.354	112.186	112.018
0.577000	484	491	509	2017.12.15 20:00	2017.12.16 03:00	2017.12.18 21:00	2017.12.15 13:00	2017.12.15 20:00	2017.12.18 14:00	112.197	112.717	112.512	112.714	112.525	112.337	112.148	111.959
0.004000	510	510	511	2017.12.18 22:00	2017.12.18 22:00	2017.12.18 23:00	2017.12.18 15:00	2017.12.18 15:00	2017.12.18 16:00	112.515	112.515	112.475	112.763	112.700	112.637	112.574	112.511
1.210000	513	576	679	2017.12.19 01:00	2017.12.21 16:00	2017.12.28 14:00	2017.12.18 18:00	2017.12.21 09:00	2017.12.28 07:00	112.399	113.572	112.775	113.527	113.434	113.342	113.249	113.157
0.022000	680	680	681	2017.12.28 15:00	2017.12.28 15:00	2017.12.28 16:00	2017.12.28 08:00	2017.12.28 08:00	2017.12.28 09:00	112.797	112.797	112.720	113.498	113.344	113.191	113.038	112.885
0.179000	682	694	699	2017.12.28 17:00	2017.12.29 05:00	2017.12.29 10:00	2017.12.28 10:00	2017.12.28 22:00	2017.12.29 03:00	112.774	112.894	112.749	113.155	113.025	112.895	112.765	112.635
0.031000	701	701	702	2017.12.29 12:00	2017.12.29 12:00	2017.12.29 13:00	2017.12.29 05:00	2017.12.29 05:00	2017.12.29 06:00	112.769	112.769	112.742	112.934	112.888	112.843	112.797	112.751
0.026000	707	707	708	2017.12.29 18:00	2017.12.29 18:00	2017.12.29 19:00	2017.12.29 11:00	2017.12.29 11:00	2017.12.29 12:00	112.602	112.602	112.531	112.987	112.887	112.787	112.687	112.587
0.044000	710	711	712	2017.12.29 21:00	2017.12.29 22:00	2017.12.29 23:00	2017.12.29 14:00	2017.12.29 15:00	2017.12.29 16:00	112.553	112.557	112.501	112.987	112.855	112.723	112.592	112.460
0.182000	713	714	715	2017.12.30 00:00	2017.12.30 01:00	2017.12.30 02:00	2017.12.29 17:00	2017.12.29 18:00	2017.12.29 19:00	112.628	112.684	112.577	112.932	112.808	112.683	112.559	112.435

