source = 44_1.14_file-io.USDJPY.Period-H1.Days-1900.Bars-45600.20180511_181208.csv (C:\WORKS_2\WS\WS_Others\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\csv)
Max	idx_Start	idxOf_SumMax	idx(when ended)	dateTime_Local(started)	dateTime_Local(max)	dateTime_Local(ended)	dateTime(started)	dateTime(max)	dateTime(ended)	price_Close(started)	price_Close(max)	price_Close(ended)	BB_2S(max)	BB_1S(max)	BB_Main(max)	BB_M1S(max)	BB_M2S(max)
0.268000	71	73	74	2018.01.25 15:00	2018.01.25 17:00	2018.01.25 18:00	2018.01.25 08:00	2018.01.25 10:00	2018.01.25 11:00	108.957	109.197	109.006	109.438	109.294	109.150	109.006	108.862
0.053000	75	75	76	2018.01.25 19:00	2018.01.25 19:00	2018.01.25 20:00	2018.01.25 12:00	2018.01.25 12:00	2018.01.25 13:00	109.057	109.057	109.015	109.357	109.237	109.117	108.997	108.877
0.094000	79	79	80	2018.01.25 23:00	2018.01.25 23:00	2018.01.26 00:00	2018.01.25 16:00	2018.01.25 16:00	2018.01.25 17:00	108.845	108.845	108.693	109.366	109.217	109.068	108.919	108.770
0.001000	81	81	82	2018.01.26 01:00	2018.01.26 01:00	2018.01.26 02:00	2018.01.25 18:00	2018.01.25 18:00	2018.01.25 19:00	108.695	108.695	108.663	109.399	109.214	109.028	108.843	108.657
1.114000	84	89	96	2018.01.26 04:00	2018.01.26 09:00	2018.01.26 16:00	2018.01.25 21:00	2018.01.26 02:00	2018.01.26 09:00	109.412	109.673	109.035	109.745	109.409	109.073	108.736	108.400
0.445000	98	100	103	2018.01.26 18:00	2018.01.26 20:00	2018.01.26 23:00	2018.01.26 11:00	2018.01.26 13:00	2018.01.26 16:00	109.109	109.380	108.702	109.863	109.547	109.231	108.915	108.599
0.075000	106	106	107	2018.01.27 02:00	2018.01.27 02:00	2018.01.27 03:00	2018.01.26 19:00	2018.01.26 19:00	2018.01.26 20:00	108.458	108.458	108.332	109.920	109.545	109.170	108.795	108.421
0.731000	108	129	142	2018.01.27 04:00	2018.01.30 01:00	2018.01.30 14:00	2018.01.26 21:00	2018.01.29 18:00	2018.01.30 07:00	108.677	109.127	108.684	109.047	108.921	108.794	108.667	108.541
0.130000	143	143	145	2018.01.30 15:00	2018.01.30 15:00	2018.01.30 17:00	2018.01.30 08:00	2018.01.30 08:00	2018.01.30 10:00	108.814	108.814	108.674	109.166	109.037	108.909	108.780	108.652
0.071000	148	149	150	2018.01.30 20:00	2018.01.30 21:00	2018.01.30 22:00	2018.01.30 13:00	2018.01.30 14:00	2018.01.30 15:00	108.608	108.661	108.567	109.158	108.999	108.840	108.680	108.521
0.334000	152	153	160	2018.01.31 00:00	2018.01.31 01:00	2018.01.31 08:00	2018.01.30 17:00	2018.01.30 18:00	2018.01.31 01:00	108.819	108.872	108.741	109.085	108.932	108.778	108.625	108.472
0.171000	161	163	166	2018.01.31 09:00	2018.01.31 11:00	2018.01.31 14:00	2018.01.31 02:00	2018.01.31 04:00	2018.01.31 07:00	108.791	108.922	108.696	108.945	108.842	108.738	108.634	108.530
1.802000	168	223	253	2018.01.31 16:00	2018.02.02 23:00	2018.02.06 05:00	2018.01.31 09:00	2018.02.02 16:00	2018.02.05 22:00	108.691	110.420	109.230	110.272	109.982	109.693	109.404	109.114
0.038000	255	255	256	2018.02.06 07:00	2018.02.06 07:00	2018.02.06 08:00	2018.02.06 00:00	2018.02.06 00:00	2018.02.06 01:00	109.131	109.131	109.011	110.396	110.103	109.809	109.516	109.223
0.051000	257	257	258	2018.02.06 09:00	2018.02.06 09:00	2018.02.06 10:00	2018.02.06 02:00	2018.02.06 02:00	2018.02.06 03:00	109.112	109.112	108.641	110.441	110.079	109.717	109.356	108.994
0.019000	259	259	260	2018.02.06 11:00	2018.02.06 11:00	2018.02.06 12:00	2018.02.06 04:00	2018.02.06 04:00	2018.02.06 05:00	108.663	108.663	108.613	110.520	110.052	109.584	109.116	108.648
1.115000	261	279	288	2018.02.06 13:00	2018.02.07 07:00	2018.02.07 16:00	2018.02.06 06:00	2018.02.07 00:00	2018.02.07 09:00	108.655	109.700	109.040	109.763	109.476	109.189	108.901	108.614
0.575000	290	301	304	2018.02.07 18:00	2018.02.08 05:00	2018.02.08 08:00	2018.02.07 11:00	2018.02.07 22:00	2018.02.08 01:00	109.085	109.594	109.153	109.602	109.440	109.278	109.116	108.953
0.620000	305	311	319	2018.02.08 09:00	2018.02.08 15:00	2018.02.08 23:00	2018.02.08 02:00	2018.02.08 08:00	2018.02.08 16:00	109.321	109.774	109.431	109.720	109.554	109.388	109.223	109.057
0.255000	323	323	325	2018.02.09 03:00	2018.02.09 03:00	2018.02.09 05:00	2018.02.08 20:00	2018.02.08 20:00	2018.02.08 22:00	108.927	108.927	108.720	109.978	109.693	109.408	109.122	108.837
0.055000	326	327	328	2018.02.09 06:00	2018.02.09 07:00	2018.02.09 08:00	2018.02.08 23:00	2018.02.09 00:00	2018.02.09 01:00	108.759	108.760	108.555	110.073	109.689	109.305	108.921	108.537
0.671000	329	337	341	2018.02.09 09:00	2018.02.09 17:00	2018.02.09 21:00	2018.02.09 02:00	2018.02.09 10:00	2018.02.09 14:00	108.818	109.234	108.801	109.460	109.211	108.961	108.712	108.462
0.196000	342	342	344	2018.02.09 22:00	2018.02.09 22:00	2018.02.10 00:00	2018.02.09 15:00	2018.02.09 15:00	2018.02.09 17:00	108.996	108.996	108.673	109.240	109.078	108.916	108.754	108.592
0.510000	348	351	367	2018.02.10 04:00	2018.02.12 07:00	2018.02.12 23:00	2018.02.09 21:00	2018.02.12 00:00	2018.02.12 16:00	108.579	108.850	108.537	109.352	109.103	108.854	108.604	108.355
0.189000	368	371	373	2018.02.13 00:00	2018.02.13 03:00	2018.02.13 05:00	2018.02.12 17:00	2018.02.12 20:00	2018.02.12 22:00	108.542	108.730	108.612	108.791	108.728	108.665	108.602	108.539
0.129000	374	376	380	2018.02.13 06:00	2018.02.13 08:00	2018.02.13 12:00	2018.02.12 23:00	2018.02.13 01:00	2018.02.13 05:00	108.648	108.719	108.578	108.770	108.714	108.658	108.601	108.545
0.030000	388	388	390	2018.02.13 20:00	2018.02.13 20:00	2018.02.13 22:00	2018.02.13 13:00	2018.02.13 13:00	2018.02.13 15:00	107.642	107.642	107.594	109.225	108.794	108.363	107.932	107.501
0.029000	391	391	392	2018.02.13 23:00	2018.02.13 23:00	2018.02.14 00:00	2018.02.13 16:00	2018.02.13 16:00	2018.02.13 17:00	107.627	107.627	107.459	109.145	108.672	108.199	107.727	107.254
0.419000	393	399	403	2018.02.14 01:00	2018.02.14 07:00	2018.02.14 11:00	2018.02.13 18:00	2018.02.14 00:00	2018.02.14 04:00	107.604	107.826	107.216	108.387	108.098	107.808	107.519	107.229
0.608000	405	410	416	2018.02.14 13:00	2018.02.14 18:00	2018.02.15 00:00	2018.02.14 06:00	2018.02.14 11:00	2018.02.14 17:00	107.101	107.476	106.838	108.062	107.788	107.515	107.241	106.967
0.247000	417	420	421	2018.02.15 01:00	2018.02.15 04:00	2018.02.15 05:00	2018.02.14 18:00	2018.02.14 21:00	2018.02.14 22:00	107.013	107.082	106.940	107.731	107.488	107.245	107.002	106.760
0.114000	422	423	424	2018.02.15 06:00	2018.02.15 07:00	2018.02.15 08:00	2018.02.14 23:00	2018.02.15 00:00	2018.02.15 01:00	107.015	106.972	106.547	107.547	107.352	107.157	106.963	106.768
0.207000	425	425	427	2018.02.15 09:00	2018.02.15 09:00	2018.02.15 11:00	2018.02.15 02:00	2018.02.15 02:00	2018.02.15 04:00	106.756	106.756	106.475	107.611	107.368	107.124	106.881	106.638
0.128000	428	429	431	2018.02.15 12:00	2018.02.15 13:00	2018.02.15 15:00	2018.02.15 05:00	2018.02.15 06:00	2018.02.15 08:00	106.575	106.601	106.462	107.583	107.283	106.982	106.681	106.380
0.339000	433	436	438	2018.02.15 17:00	2018.02.15 20:00	2018.02.15 22:00	2018.02.15 10:00	2018.02.15 13:00	2018.02.15 15:00	106.374	106.697	106.518	107.192	106.949	106.706	106.464	106.221
0.416000	441	442	443	2018.02.16 01:00	2018.02.16 02:00	2018.02.16 03:00	2018.02.15 18:00	2018.02.15 19:00	2018.02.15 20:00	106.354	106.678	106.402	106.869	106.705	106.541	106.377	106.213
0.078000	446	447	448	2018.02.16 06:00	2018.02.16 07:00	2018.02.16 08:00	2018.02.15 23:00	2018.02.16 00:00	2018.02.16 01:00	106.144	106.145	106.105	106.773	106.598	106.423	106.247	106.072
0.133000	449	449	450	2018.02.16 09:00	2018.02.16 09:00	2018.02.16 10:00	2018.02.16 02:00	2018.02.16 02:00	2018.02.16 03:00	106.237	106.237	106.123	106.744	106.563	106.381	106.199	106.018
0.025000	452	452	453	2018.02.16 12:00	2018.02.16 12:00	2018.02.16 13:00	2018.02.16 05:00	2018.02.16 05:00	2018.02.16 06:00	106.086	106.086	105.709	106.729	106.527	106.325	106.123	105.922
0.307000	454	456	457	2018.02.16 14:00	2018.02.16 16:00	2018.02.16 17:00	2018.02.16 07:00	2018.02.16 09:00	2018.02.16 10:00	105.789	106.017	105.847	106.693	106.440	106.188	105.935	105.683
0.431000	458	463	464	2018.02.16 18:00	2018.02.16 23:00	2018.02.17 00:00	2018.02.16 11:00	2018.02.16 16:00	2018.02.16 17:00	106.025	106.276	106.025	106.390	106.229	106.067	105.906	105.744
0.083000	465	465	466	2018.02.17 01:00	2018.02.17 01:00	2018.02.17 02:00	2018.02.16 18:00	2018.02.16 18:00	2018.02.16 19:00	106.108	106.108	106.057	106.367	106.211	106.056	105.900	105.745
