source = 44_1.14_file-io.AUDJPY.Period-H1.Days-1900.Bars-45600.20180511_181322.csv (C:\WORKS_2\WS\WS_Others\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\csv)
Max	idx_Start	idxOf_SumMax	idx(when ended)	dateTime_Local(started)	dateTime_Local(max)	dateTime_Local(ended)	dateTime(started)	dateTime(max)	dateTime(ended)	price_Close(started)	price_Close(max)	price_Close(ended)	BB_2S(max)	BB_1S(max)	BB_Main(max)	BB_M1S(max)	BB_M2S(max)
0.356000	199	203	210	2018.02.01 23:00	2018.02.02 03:00	2018.02.02 10:00	2018.02.01 16:00	2018.02.01 20:00	2018.02.02 03:00	87.660	87.948	87.708	88.107	87.978	87.849	87.721	87.592
0.036000	211	211	213	2018.02.02 11:00	2018.02.02 11:00	2018.02.02 13:00	2018.02.02 04:00	2018.02.02 04:00	2018.02.02 06:00	87.745	87.745	87.697	88.044	87.932	87.819	87.707	87.594
0.190000	214	216	217	2018.02.02 14:00	2018.02.02 16:00	2018.02.02 17:00	2018.02.02 07:00	2018.02.02 09:00	2018.02.02 10:00	87.746	87.889	87.737	88.046	87.934	87.821	87.708	87.595
0.054000	218	218	222	2018.02.02 18:00	2018.02.02 18:00	2018.02.02 22:00	2018.02.02 11:00	2018.02.02 11:00	2018.02.02 15:00	87.792	87.792	87.696	88.028	87.930	87.833	87.736	87.638
0.103000	224	224	225	2018.02.03 00:00	2018.02.03 00:00	2018.02.03 01:00	2018.02.02 17:00	2018.02.02 17:00	2018.02.02 18:00	87.662	87.662	87.524	87.996	87.892	87.788	87.684	87.580
0.038000	226	226	227	2018.02.03 02:00	2018.02.03 02:00	2018.02.03 03:00	2018.02.02 19:00	2018.02.02 19:00	2018.02.02 20:00	87.563	87.563	87.544	87.981	87.865	87.749	87.634	87.518
0.197000	233	234	235	2018.02.05 09:00	2018.02.05 10:00	2018.02.05 11:00	2018.02.05 02:00	2018.02.05 03:00	2018.02.05 04:00	87.063	87.172	87.050	88.073	87.800	87.527	87.254	86.982
0.228000	236	238	240	2018.02.05 12:00	2018.02.05 14:00	2018.02.05 16:00	2018.02.05 05:00	2018.02.05 07:00	2018.02.05 09:00	87.159	87.280	87.069	87.915	87.656	87.398	87.140	86.882
0.264000	241	242	243	2018.02.05 17:00	2018.02.05 18:00	2018.02.05 19:00	2018.02.05 10:00	2018.02.05 11:00	2018.02.05 12:00	87.141	87.335	87.193	87.686	87.487	87.288	87.089	86.890
0.311000	245	248	249	2018.02.05 21:00	2018.02.06 00:00	2018.02.06 01:00	2018.02.05 14:00	2018.02.05 17:00	2018.02.05 18:00	87.113	87.404	87.249	87.395	87.290	87.185	87.079	86.974
0.018000	255	255	256	2018.02.06 07:00	2018.02.06 07:00	2018.02.06 08:00	2018.02.06 00:00	2018.02.06 00:00	2018.02.06 01:00	85.982	85.982	85.916	87.852	87.424	86.997	86.570	86.143
0.126000	259	259	260	2018.02.06 11:00	2018.02.06 11:00	2018.02.06 12:00	2018.02.06 04:00	2018.02.06 04:00	2018.02.06 05:00	85.488	85.488	85.312	88.015	87.350	86.685	86.021	85.356
0.904000	262	265	268	2018.02.06 14:00	2018.02.06 17:00	2018.02.06 20:00	2018.02.06 07:00	2018.02.06 10:00	2018.02.06 13:00	85.546	86.141	85.601	87.686	86.950	86.214	85.478	84.742
1.169000	269	279	285	2018.02.06 21:00	2018.02.07 07:00	2018.02.07 13:00	2018.02.06 14:00	2018.02.07 00:00	2018.02.07 06:00	85.778	86.725	86.139	86.744	86.352	85.961	85.569	85.177
0.067000	289	289	290	2018.02.07 17:00	2018.02.07 17:00	2018.02.07 18:00	2018.02.07 10:00	2018.02.07 10:00	2018.02.07 11:00	85.904	85.904	85.806	86.703	86.459	86.215	85.971	85.727
0.296000	292	293	294	2018.02.07 20:00	2018.02.07 21:00	2018.02.07 22:00	2018.02.07 13:00	2018.02.07 14:00	2018.02.07 15:00	85.919	85.999	85.812	86.742	86.458	86.173	85.889	85.604
0.155000	295	295	296	2018.02.07 23:00	2018.02.07 23:00	2018.02.08 00:00	2018.02.07 16:00	2018.02.07 16:00	2018.02.07 17:00	85.968	85.968	85.782	86.740	86.444	86.147	85.851	85.554
0.104000	297	297	298	2018.02.08 01:00	2018.02.08 01:00	2018.02.08 02:00	2018.02.07 18:00	2018.02.07 18:00	2018.02.07 19:00	85.886	85.886	85.775	86.699	86.398	86.097	85.796	85.495
0.167000	300	301	302	2018.02.08 04:00	2018.02.08 05:00	2018.02.08 06:00	2018.02.07 21:00	2018.02.07 22:00	2018.02.07 23:00	85.602	85.717	85.492	86.345	86.129	85.913	85.697	85.481
0.300000	305	307	308	2018.02.08 09:00	2018.02.08 11:00	2018.02.08 12:00	2018.02.08 02:00	2018.02.08 04:00	2018.02.08 05:00	85.476	85.614	85.449	86.085	85.896	85.708	85.520	85.331
0.370000	309	311	315	2018.02.08 13:00	2018.02.08 15:00	2018.02.08 19:00	2018.02.08 06:00	2018.02.08 08:00	2018.02.08 12:00	85.584	85.819	85.613	86.061	85.870	85.679	85.487	85.296
